Question,Answer,Source
What are the safety precautions and handling instructions for using the product?,"To use the product safely, follow these instructions: Wear appropriate footwear to prevent product from coming in contact with feet and skin. Special ventilation is not necessary for normal application, but if user's operations generate vapours or mist, use ventilation to keep exposure to airborne contaminants below the exposure limit. Make-up air should always be supplied to balance air removed by exhaust ventilation. Ensure that eyewash station and safety shower are close to work-station. Wear appropriate clothing to prevent skin contact; as a minimum long sleeves and trousers should be worn. Eye protection (safety glasses, safety goggles, and/or face shield) should be determined based on conditions of use. If product is used in an application where splashing may occur, the use of safety goggles and/or a face shield should be considered. Respirators may be necessary to prevent overexposure by inhalation. The selection of personal protective equipment varies depending upon conditions of use.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection"
What are the potential hazards associated with the product?,"The potential hazards associated with the product include slight irritation of skin, eyes, and respiratory tract. Ingestion is extremely dangerous. The product may also react with oxidizing agents, acids, and alkalis, and may release COx, smoke, and irritating vapours when heated to decomposition.","Section III. Hazards Identification., Section X. Stability and Reactivity"
What are the specific health effects or risks associated with exposure to the product?,"The substance may be toxic to kidneys and liver. Repeated or prolonged exposure can produce target organs damage. Repeated exposure to a highly toxic material may cause general deterioration of health by accumulation in human organs. Slightly hazardous in case of eye contact (irritant), extremely dangerous in case of ingestion, slightly hazardous in case of inhalation (lung irritant), and slightly hazardous in case of skin contact (irritant). May release COx, smoke, and irritating vapours when heated to decomposition.",Section X. Stability and Reactivity; Section XI. Toxicological Information; Other Considerations
What are the emergency procedures in case of inhalation of the product?,"Evacuate the victim to a safe area as soon as possible. If the victim is not breathing, perform artificial respiration. Allow the victim to rest in a well ventilated area. Respirators may be necessary to prevent overexposure by inhalation.",Section IV. First Aid Measures
What are the emergency procedures in case of skin contact with the product?,Remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water and non-abrasive soap. Seek medical attention.,Section IV. First Aid Measures
What are the emergency procedures in case of eye contact with the product?,"IMMEDIATELY flush eyes with running water for at least 15 minutes, keeping eyelids open. Seek medical attention.","Section IV. First Aid Measures, Eye Contact"
What are the emergency procedures in case of ingestion of the product?,DO NOT induce vomiting because of danger of aspirating liquid into lungs. Seek medical attention.,"Section III. Hazards Identification, Section IV. First Aid Measures"
What is the waste disposal method for the product?,"The waste disposal method for the product is to recycle or reprocess, incinerate with energy recovery, or dispose at a licensed waste disposal facility. Ensure that disposal or reprocessing is in compliance with government requirements and local disposal regulations.",Section XIII. Disposal Considerations
Are there any specific storage requirements or conditions for safely storing the product?,"Store in a cool, well-ventilated area. Protect from light.",Section VII. Handling and Storage
What is the shelf life of the product?,The product is stable. Not available information on shelf life.,Section X. Stability and Reactivity
What are the composition and ingredients of the product?,"The product is composed of 1) Ethylene glycol (107-21-1, >55%), 2) Sodium tetraborate pentahydrate (1330-43-4, <5%).",Section II. Composition and Information on Ingredients
Are there any known hazardous reactions or incompatibilities with other substances or materials?,"The product is stable. However, it may be reactive with oxidizing agents, acids, and alkalis. Decomposition products may release COx, smoke, and irritating vapours when heated to decomposition.",Section X. Stability and Reactivity
What is the odor of the product?,Odourless,Section IX. Physical and Chemical Properties
What is the boiling point of the product?,129 to 197°C (264 to 387°F),Section IX. Physical and Chemical Properties
Is the product flammable?,May be combustible at high temperature.,Flammability
What is the solubility of the product?,"The product is soluble in water, methanol, and diethyl ether.",Section IX. Physical and Chemical Properties
"Is the product stable under certain conditions, and are there any potential decomposition products?","The product is stable under normal working conditions. However, it may release COx, smoke, and irritating vapours when heated to decomposition. Decomposition products are not available in the provided context.","Section X. Stability and Reactivity, Section VI. Accidental Release Measures"
"What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?","For handling the product, recommended engineering controls include providing make-up air to balance air removed by exhaust ventilation. Personal protective equipment (PPE) includes chemically protective gloves, appropriate footwear to prevent skin contact from feet, clothing that prevents skin contact (minimum long sleeves and trousers), eye protection determined based on conditions of use (considering safety goggles and/or face shield if product is used in an application where splashing may occur). Respiratory protection may be necessary with NIOSH-approved respirators when concentrations in air may exceed occupational exposure limits, especially when handling hot product.",Section VIII. Exposure Controls/Personal Protection
Are there any specific environmental precautions or considerations for the disposal of the product or its containers?,Dispose of in accordance with regional regulations. Ensure that disposal or reprocessing is in compliance with government requirements and local disposal regulations.,"Section VI. Accidental Release Measures, Section XIII. Disposal Considerations"
Can the specific chemical identity or exact percentage of the composition be disclosed for the product?,"No, the exact percentage of the composition cannot be disclosed, only that 'All components of this formulation are listed on the CEPA-DSL (Domestic Substances List)' and 'All components of this formulation are listed on the US EPA-TSCA Inventory'.","Section XI. Toxicological Information, Other Considerations, DSD/DPD (EEC), WHMIS (Canada)"
