Question,Answer,Source
"How should accidental releases, spill, or leak of the product be handled?","For small spills, dilute with water and mop up or absorb with an inert DRY material and place in a waste disposal container. For large spills or leaks, absorb with an inert material and put the spilled material in a waste disposal container, then dispose of in accordance with regional regulations.",Section VI. Accidental Release Measures
What precautions should be taken for safe handling and storage of the product?,"Keep container dry, tightly closed, in a cool, well-ventilated place. Avoid contamination with reactive substances. After handling, always wash hands thoroughly with soap and water. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Wear chemically protective gloves when handling the product. When handling hot product ensure gloves are heat resistant and insulated. Wear appropriate clothing to prevent skin contact, as a minimum long sleeves and trousers should be worn.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection"
What are the exposure controls and personal protection measures recommended for the product?,"Wear appropriate chemically protective gloves. When handling hot product ensure gloves are heat resistant and insulated. Where concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your area) and where engineering, work practices or other means of exposure reduction are not adequate, NIOSH approved respirators may be necessary to prevent overexposure by inhalation. Wear appropriate clothing to prevent skin contact. As a minimum long sleeves and trousers should be worn. Eye protection (i.e., safety glasses, safety goggles and/or face shield) should be determined based on conditions of use. If product is used in an application where splashing may occur, the use of safety goggles and/or a face shield should be considered.",Section VIII. Exposure Controls/Personal Protection
What are the physical and chemical properties of the product?,"Clear viscous liquid, Green colour, Odourless, Soluble in water, methanol and diethyl ether, Boiling Point: 129 to 197°C (264 to 387°F), Density: 1.115 to 1.145 (Water = 1), Vapour Density: 2.1 (Air=1), Vapour Pressure: 0.06 mmHg @ 20°C (68ºF), Volatility: 0% (w/w)","Section IX. Physical and Chemical Properties, Section I. Identification, Not available"
Is the product stable or reactive? Are there any hazardous reactions to be aware of?,"The product is stable, but it may release COx, smoke, and irritating vapours when heated to decomposition. It is also reactive with oxidizing agents, acids, and alkalis.",Section X. Stability and Reactivity
What are the possible hazardous decomposition products of the product?,"COx, smoke, irritating vapours",Section X. Stability and Reactivity
What is the toxicological information available for the product?,"Chronic or Other Toxic Effects are available for dermal, inhalation, oral routes; eye irritation/inflammation; immunotoxicity; skin sensitization; respiratory tract sensitization; mutagenic effects. The substance may be toxic to kidneys and liver, and repeated exposure can produce target organs damage.",Section XI. Toxicological Information
What are the safety precautions and handling instructions for using the product?,"To handle this product, keep container dry and tightly closed. Store in a cool, well-ventilated place to avoid contamination with reactive substances. After handling, wash hands thoroughly with soap and water. Wear chemically protective gloves when handling hot product and ensure they are heat resistant and insulated. Also, wear appropriate footwear to prevent the product from coming into contact with feet and skin. For normal application, special ventilation is not necessary. However, if vapors or mist are generated during user operations, use ventilation to keep exposure below the exposure limit. Make-up air should be supplied to balance removed air. Ensure an eyewash station and safety shower are close to the workstation.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection"
What are the potential hazards associated with the product?,"The potential hazards associated with the product are eye irritation, skin irritation, respiratory tract irritation, ingestion danger (extremely dangerous), slight hazard in case of inhalation (lung irritant), slightly hazardous in case of skin contact (irritant). The product is also reactive with oxidizing agents, acids, and alkalis, may release COx, smoke, and irritating vapours when heated to decomposition.","Section III. Hazards Identification., Section X. Stability and Reactivity"
What are the specific health effects or risks associated with exposure to the product?,"Inhalation may cause nausea, headaches, and vomiting. Skin contact can cause slight irritation. Eye contact is slightly hazardous and may cause irritation or inflammation. Ingestion is extremely dangerous and can be fatal. Repeated exposure to the substance can produce target organs damage, such as kidneys and liver toxicity.","Section XI. Toxicological Information, Section III. Hazards Identification, Section VIII. Exposure Controls/Personal Protection"
What are the emergency procedures in case of inhalation of the product?,"IMMEDIATELY evacuate the victim to a safe area as soon as possible. If the victim is not breathing, perform artificial respiration. Allow the victim to rest in a well-ventilated area. Seek medical attention.",Section IV. First Aid Measures
What are the emergency procedures in case of skin contact with the product?,IMMEDIATELY remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water and non-abrasive soap. Seek medical attention.,"Section IV. First Aid Measures, Section VII. Handling and Storage"
What are the emergency procedures in case of eye contact with the product?,"IMMEDIATELY flush eyes with running water for at least 15 minutes, keeping eyelids open. Seek medical attention.",Section IV. First Aid Measures
What are the emergency procedures in case of ingestion of the product?,DO NOT induce vomiting because of danger of aspirating liquid into lungs. Seek medical attention.,"Section III. Hazards Identification, Section IV. First Aid Measures"
What is the waste disposal method for the product?,"For small spills, dilute with water and mop up or absorb with an inert DRY material and place in an appropriate waste disposal container. For large spills, absorb with an inert material and put the spilled material in an appropriate waste disposal. Dispose of in accordance with regional regulations.",Section VI. Accidental Release Measures
Are there any specific storage requirements or conditions for safely storing the product?,"Keep container dry.  Keep container tightly closed.  Keep in a cool, well-ventilated place. Avoid contamination with reactive substances.",Section VII. Handling and Storage
What is the shelf life of the product?,"The product is stable, but specific shelf life information is not available.","Section X. Stability and Reactivity, Section XI. Toxicological Information"
What are the composition and ingredients of the product?,"The product is composed of two ingredients: 1) Ethylene glycol (107-21-1, >55%); and 2) Sodium tetraborate pentahydrate (1330-43-4, <5%).",Section II. Composition and Information on Ingredients
Are there any known hazardous reactions or incompatibilities with other substances or materials?,"Yes, reactive with oxidizing agents, acids, and alkalis. May release COx, smoke, and irritating vapours when heated to decomposition.",Section X. Stability and Reactivity
What is the odor of the product?,Odourless,"Section IV. Physical Data, Colour"
What is the boiling point of the product?,129 to 197°C (264 to 387°F),Section IX. Physical and Chemical Properties
Is the product flammable?,"Yes, the product is flammable. It has a Flash Point of Closed Cup: 116ºC (Tagliabue) and Open Cup: 116ºC (Cleveland), with Flammable Limits of Lower: 3.2%, Upper: 15.3%. It is combustible in presence of open flames and sparks, and may be combustible at high temperature.","Section IV. First Aid Measures, Section V. Fire-fighting Measures"
What is the solubility of the product?,"Soluble in water, methanol and diethyl ether. Not available",Section I. Identification
"Is the product stable under certain conditions, and are there any potential decomposition products?","The product is stable. However, it may release COx, smoke, and irritating vapours when heated to decomposition.",Section X. Stability and Reactivity; Decomposition Products
"What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?","For normal application, special ventilation is not necessary. If user's operations generate vapours or mist, use ventilation to keep exposure to airborne contaminants below the exposure limit. Make-up air should always be supplied to balance air removed by exhaust ventilation. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Wear appropriate chemically protective gloves. When handling hot product ensure gloves are heat resistant and insulated. Where concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your area) and where engineering, work practices or other means of exposure reduction are not adequate, NIOSH approved respirators may be necessary to prevent overexposure by inhalation. Wear appropriate clothing to prevent skin contact. As a minimum long sleeves and trousers should be worn. Eye protection (i.e., safety glasses, safety goggles and/or face shield) should be determined based on conditions of use.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection"
Are there any specific environmental precautions or considerations for the disposal of the product or its containers?,"For small spills, dilute with water and mop up or absorb with an inert DRY material and place in an appropriate waste disposal container. For large spills, absorb with an inert material and put the spilled material in an appropriate waste disposal. Dispose of in accordance with regional regulations.",Section VI. Accidental Release Measures
Can the specific chemical identity or exact percentage of the composition be disclosed for the product?,"No, the specific chemical identity or exact percentage of the composition cannot be disclosed.","Section X. Stability and Reactivity, Section XI. Toxicological Information"
