Source,,Question,Answer,Source
,,What precautions should be taken for safe handling and storage of the product?,"To prevent product from coming in contact with feet and skin, wear appropriate footwear. For normal application, special ventilation is not necessary, but if user's operations generate vapours or mist, use ventilation to keep exposure to airborne contaminants below the exposure limit. Ensure that eyewash station and safety shower are close to work-station. Wear appropriate clothing to prevent skin contact, as a minimum long sleeves and trousers should be worn. Eye protection (safety glasses, safety goggles and/or face shield) should be determined based on conditions of use.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection"
,,What are the exposure controls and personal protection measures recommended for the product?,"Special ventilation is necessary if user's operations generate vapours or mist. Use NIOSH approved respirators when concentrations in air may exceed occupational exposure limits. Wear appropriate chemically protective gloves, heat-resistant and insulated if handling hot product. Avoid skin contact with long sleeves and trousers. Use safety glasses, goggles, and/or face shield based on conditions of use.",Section VIII. Exposure Controls/Personal Protection
,,What are the physical and chemical properties of the product?,"Physical State and Appearance: Clear viscous liquid; Colour: Green; Odour: Odourless. Volatility: 0% (w/w); Density: 1.115 to 1.145 (Water = 1); Vapour Density: 2.1 (Air=1). Vapour Pressure: 0.06 mmHg @ 20°C (68ºF). Solubility: Soluble in water, methanol and diethyl ether.",Section IX. Physical and Chemical Properties
,,Is the product stable or reactive? Are there any hazardous reactions to be aware of?,"The product is stable. However, it may release COx, smoke, and irritating vapors when heated to decomposition, and is reactive with oxidizing agents, acids, and alkalis.",Section X. Stability and Reactivity
,,What are the possible hazardous decomposition products of the product?,"COx, smoke, and irritating vapours",Section X. Stability and Reactivity
,,What is the toxicological information available for the product?,"The product contains slightly hazardous information in case of eye contact (irritant), extremely dangerous in case of ingestion, slightly hazardous in case of inhalation (lung irritant) with potential effects like nausea, headaches, and vomiting, and slightly hazardous in case of skin contact (irritant). Repeated or prolonged exposure may produce target organs damage. It is also mentioned that the substance can be toxic to kidneys and liver. The product contains ethylene glycol, which has an LD50: 4700 mg/kg (oral/rat) and LD50: 9530 mg/kg (dermal/rabbit).",Section XI. Toxicological Information
,,What are the safety precautions and handling instructions for using the product?,"To use this product safely, keep container dry and tightly closed. Store in a cool, well-ventilated place, avoiding contamination with reactive substances. After handling, wash hands thoroughly with soap and water. Wear appropriate footwear to prevent the product from coming into contact with feet and skin. Personal protective equipment varies depending on conditions of use, but as a minimum, wear long sleeves and trousers to prevent skin contact. For normal application, special ventilation is not necessary; however, if user operations generate vapors or mist, use ventilation to keep exposure below exposure limits.",Section VII. Handling and Storage
,,What are the potential hazards associated with the product?,"The potential hazards associated with the product include irritation of skin, eyes, and respiratory tract upon contact. Ingestion can be extremely dangerous. The product is also slightly hazardous in case of inhalation (lung irritant) or eye contact (irritant). When heated to decomposition, it may release COx, smoke, and irritating vapors.","Section III. Hazards Identification., Section X. Stability and Reactivity"
,,What are the specific health effects or risks associated with exposure to the product?,"The substance may be toxic to kidneys and liver. Repeated or prolonged exposure can produce target organs damage, general deterioration of health by an accumulation in one or many human organs. Slightly hazardous in case of eye contact (irritant). Extremely dangerous in case of ingestion. Slightly hazardous in case of inhalation (lung irritant), which can cause nausea, headaches, and vomiting. Slightly hazardous in case of skin contact (irritant). Can also be fetotoxic and teratogenic in mice at levels below maternal toxicity.","Section X. Stability and Reactivity, Section XI. Toxicological Information, Other Considerations"
,,What are the emergency procedures in case of inhalation of the product?,"Evacuate the victim to a safe area as soon as possible. If the victim is not breathing, perform artificial respiration. Allow the victim to rest in a well ventilated area. Seek medical attention.",Section IV. First Aid Measures
,,What are the emergency procedures in case of skin contact with the product?,Remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water and non-abrasive soap.  Seek medical attention.,Section IV. First Aid Measures
,,What are the emergency procedures in case of eye contact with the product?,"IMMEDIATELY flush eyes with running water for at least 15 minutes, keeping eyelids open. Seek medical attention.",Section IV. First Aid Measures
,,What are the emergency procedures in case of ingestion of the product?,DO NOT induce vomiting because of danger of aspirating liquid into lungs. Seek medical attention.,"Section III. Hazards Identification, Section IV. First Aid Measures"
,,What is the waste disposal method for the product?,Preferred waste management priorities are: (1) recycle or reprocess; (2) incineration with energy recovery; (3) disposal at licensed waste disposal facility. Dispose of in accordance with regional regulations.,"Section XIII. Disposal Considerations, Section VI. Accidental Release Measures"
,,Are there any specific storage requirements or conditions for safely storing the product?,"Store in a cool, well-ventilated area. Incompatible substances/conditions to avoid are oxidizing agents, acids, and alkalis.","Section X. Stability and Reactivity, Section IX. Physical and Chemical Properties"
,,What is the shelf life of the product?,"The product is stable, with no information available on a specific shelf life.",Section X. Stability and Reactivity
,,What are the composition and ingredients of the product?,The product contains Ethylene glycol (107-21-1 >55%) and Sodium tetraborate pentahydrate (1330-43-4 <5%).,Section II. Composition and Information on Ingredients
,,Are there any known hazardous reactions or incompatibilities with other substances or materials?,"The product is stable. However, it may release COx, smoke, and irritating vapours when heated to decomposition. It is reactive with oxidizing agents, acids, and alkalis. Will not occur under normal working conditions for polymerization.","Section X. Stability and Reactivity, Section II. Physical Data"
,,What is the odor of the product?,Odourless.,Section IX. Physical and Chemical Properties
,,What is the boiling point of the product?,129 to 197°C (264 to 387°F),"Section IX. Physical and Chemical Properties, Boiling Point"
,,Is the product flammable?,"May be combustible at high temperature, but not a product presenting risks of explosion.","Section III. Compressed Gas (Not applicable), Section IV. Flammable Properties (Flammability), and the context: sparks."
,,What is the solubility of the product?,"Soluble in water, methanol and diethyl ether.",Section IX. Physical and Chemical Properties
,,"Is the product stable under certain conditions, and are there any potential decomposition products?","Yes, the product is stable. However, it may release COx, smoke, and irritating vapours when heated to decomposition.","Section X. Stability and Reactivity, Section IX. Physical and Chemical Properties"
,,"What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?","For normal application, special ventilation is not necessary. If user's operations generate vapours or mist, use ventilation to keep exposure to airborne contaminants below the exposure limit. Make-up air should always be supplied to balance air removed by exhaust ventilation. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Wear appropriate chemically protective gloves.  When handling hot product ensure gloves are heat resistant and insulated. Where concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your area) and where engineering, work practices or other means of exposure reduction are not adequate, NIOSH approved respirators may be necessary to prevent overexposure by inhalation. Wear appropriate clothing to prevent skin contact. As a minimum long sleeves and trousers should be worn. Eye protection (i.e., safety glasses, safety goggles and/or face shield) should be determined based on conditions of use. If product is used in an application where splashing may occur, the use of safety goggles and/or a face shield should be considered.",Section VIII. Exposure Controls/Personal Protection
,,Are there any specific environmental precautions or considerations for the disposal of the product or its containers?,Ensure that disposal or reprocessing is in compliance with government requirements and local disposal regulations. Consult your local or regional authorities.,"Section XIII. Disposal Considerations, Section XV. Regulatory Information"
,,Can the specific chemical identity or exact percentage of the composition be disclosed for the product?,"No, the specific chemical identity or exact percentage of the composition cannot be disclosed for the product. The SDS states 'This product has been classified in accordance with the hazard criteria of the Controlled Products Regulations (CPR)' but does not provide detailed information on its chemical makeup.",Section XVI. Other Information; Section X. Stability and Reactivity
